# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:25:42
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
4.3542801e+01	-1.2514641e-02
4.3570290e+01	-1.3287173e-02
4.3597778e+01	-1.4014851e-02
4.3625267e+01	-1.4695683e-02
4.3652756e+01	-1.5328397e-02
4.3680244e+01	-1.5912257e-02
4.3707737e+01	-1.6446862e-02
4.3735226e+01	-1.6932013e-02
4.3762714e+01	-1.7367663e-02
4.3790203e+01	-1.7753882e-02
4.3817692e+01	-1.8090844e-02
4.3845181e+01	-1.8378874e-02
4.3872669e+01	-1.8618580e-02
4.3900158e+01	-1.8811015e-02
4.3927650e+01	-1.8957769e-02
4.3955139e+01	-1.9060958e-02
4.3982628e+01	-1.9123165e-02
4.4010117e+01	-1.9147351e-02
4.4037605e+01	-1.9136736e-02
4.4065094e+01	-1.9094670e-02
4.4092583e+01	-1.9024564e-02
4.4120071e+01	-1.8929893e-02
4.4147560e+01	-1.8814238e-02
4.4175053e+01	-1.8681332e-02
4.4202541e+01	-1.8535061e-02
4.4230030e+01	-1.8379439e-02
4.4257519e+01	-1.8218614e-02
4.4285007e+01	-1.8056793e-02
4.4312496e+01	-1.7898038e-02
4.4339985e+01	-1.7745925e-02
4.4367474e+01	-1.7603170e-02
4.4394962e+01	-1.7471489e-02
4.4422455e+01	-1.7351834e-02
4.4449944e+01	-1.7244881e-02
4.4477432e+01	-1.7151490e-02
4.4504921e+01	-1.7072869e-02
4.4532410e+01	-1.7010434e-02
4.4559898e+01	-1.6965486e-02
4.4587387e+01	-1.6938951e-02
4.4614876e+01	-1.6931199e-02
4.4642365e+01	-1.6942041e-02
4.4669857e+01	-1.6970828e-02
4.4697346e+01	-1.7016709e-02
4.4724834e+01	-1.7078944e-02
4.4752323e+01	-1.7157217e-02
4.4779812e+01	-1.7251734e-02
4.4807301e+01	-1.7363030e-02
4.4834789e+01	-1.7491587e-02
4.4862278e+01	-1.7637463e-02
4.4889767e+01	-1.7800232e-02
4.4917259e+01	-1.7979184e-02
4.4944748e+01	-1.8173665e-02
4.4972237e+01	-1.8383326e-02
4.4999725e+01	-1.8608134e-02
4.5027214e+01	-1.8848240e-02
4.5054703e+01	-1.9103792e-02
4.5082191e+01	-1.9374864e-02
4.5109680e+01	-1.9661406e-02
4.5137173e+01	-1.9963171e-02
4.5164661e+01	-2.0279579e-02
4.5192150e+01	-2.0609654e-02
4.5219639e+01	-2.0952092e-02
4.5247128e+01	-2.1305433e-02
4.5274616e+01	-2.1668177e-02
4.5302105e+01	-2.2038829e-02
4.5329594e+01	-2.2415867e-02
4.5357082e+01	-2.2797775e-02
4.5384575e+01	-2.3183079e-02
4.5412064e+01	-2.3570377e-02
4.5439552e+01	-2.3958258e-02
4.5467041e+01	-2.4345195e-02
4.5494530e+01	-2.4729485e-02
4.5522018e+01	-2.5109252e-02
4.5549507e+01	-2.5482493e-02
4.5576996e+01	-2.5847079e-02
4.5604485e+01	-2.6200773e-02
4.5631977e+01	-2.6541237e-02
4.5659466e+01	-2.6866106e-02
4.5686954e+01	-2.7173156e-02
4.5714443e+01	-2.7460527e-02
4.5741932e+01	-2.7726961e-02
4.5769421e+01	-2.7971935e-02
4.5796909e+01	-2.8195584e-02
4.5824398e+01	-2.8398486e-02
4.5851887e+01	-2.8581340e-02
4.5879379e+01	-2.8744722e-02
4.5906868e+01	-2.8888885e-02
4.5934357e+01	-2.9013706e-02
4.5961845e+01	-2.9118728e-02
4.5989334e+01	-2.9203337e-02
4.6016823e+01	-2.9267054e-02
4.6044312e+01	-2.9309690e-02
4.6071800e+01	-2.9331394e-02
4.6099289e+01	-2.9332524e-02
4.6126781e+01	-2.9313430e-02
4.6154270e+01	-2.9274315e-02
4.6181759e+01	-2.9215170e-02
4.6209248e+01	-2.9135883e-02
